Dom Perignon ,Unnamed: 1
Krug ,Toutes les cuvées 
Billecart Salmon,"Cuvée millésimée, et le Clos Saint Hilaire en particulier "
Louis Roederer ,Cristal 
Pol Roger ,Cuvée Winston Churchill
Ruinart ,Dom Ruinart 
Taittinger ,Comte de Champagne 
Dhondt Grellet ,"Les Nogers, Le Bateau "
Egly Ouriet ,"Les Crayères, Grand Cru Millésimé "
Jacques Selosse ,Toutes les cuvées 
Charles Heidsick ,Blanc des Millénaires 
Deutz ,Amour de Deutz
Henri Giraud ,Ay fut de chene 
,
Blanc ,
Vincent Dauvissat , Chablis Grands Crus 
françois Raveneau,Chablis Grands Crus 
Domaine Coche Dury ,"Meursault 1er Cru, Corton Charlemagne "
Domaine des Comte lafon ,"Meursault, Montrachet"
Domaine Roulot ,Meursault
Domaine Bernard Bonin,Meursault 1er Cru 
Domaine Arnaud Ente ,"Meursault, Puligny Montrachet 1er Cru "
Domaine Bruno Colin,Grand Cru 
Domaine Etienne Sauzet ,Grand Cru 
Domaine Pierre Yves Colin Morey ,Grand Cru 
Pierre girardin ,Grand Cru 
Domaine de la Vougeraie ,Corton Charlemagne 
Fontaine Gagnard ,batard Montrachet 
Jean Claude Ramonet ,Grands Crus 
Domaine de Montille ,Grands Crus 
Domaine jacques Prieur ,Montrachet 
Domaine Leflaive ,Grands Crus 
Domaine Philippe Pacalet ,Corton Charlemagne 
Domaine Henri Boillot ,Grands Crus 
Armand Heitz ,Grands Crus 
,
Rouge,
Bordeaux ,
Chateau Mouton Rotschild,
Chateau lafite Rotschild ,
Chateau Latour ,
Chateau Haut Brion ,
Chateau Margaux ,
Chateau Cheval Blanc ,
Chateau Ausone ,
Chateau Angelus ,
Chateau Figeac ,
Chateau Pavie ,
Chateau Leoville las Cases,
,
Bourgogne ,
Domaine Armand Rousseau ,Grand Crus et Gevrey 1er Cru 
Domaine Georges Roumier ,Grands Crus et Chambolle Musigny 1er Cru 
Domaine jacques Frédéric Mugnier ,Grands Crus et Chambolle Musigny 1er Cru 
Domaine Mugneret Gibourg ,Grands Crus et Vosne Romanée 1er Cru 
Domaine Claude Dugat ,Grand Crus et Gevrey 1er Cru 
Domaine Dugat-Py,Grands Crus 
Domaine Cécile Tremblay ,Grands Crus 
Domaine Arnoux Lachaux,Grands Crus 
Domaine Anne Gros ,Grands Crus 
,
Rhône Nord ,
Domaine Guigal ,"La Mouline, la Turque, La Landonne "
Domaine Jean Louis Chave ,L'Hermitage 
Domaine Jamet ,Côte Brune 
Domaine Gangloff ,La Sereine Noire 
Domaine Chapoutier,"Le Gréal, le Méal, Le Pavillon "
Domaine Jaboulet ,La Chapelle 
,
Rhône Sud ,
Chateau Rayas ,"Rayas, Pignan, Fonsalette "
Chateau de Beaucastel ,Hommage à Jacques Perrin 
Domaine Henri Bonneau ,Réserve des Célestins 
